"id","ref_id","repository_name","repository_long_name","settlement","country","repository_url","worldcat_url","loc_url","dnb_url","viaf_url"
1,,Biblioteca Apostolica Vaticana,"",Vatican City,Vatican,http://www.vaticanlibrary.va/,"","","",""
2,,National Library of Medicine,"",Bethesda (MD),USA,https://www.nlm.nih.gov,"","","",""
3,,University Library,University of Princeton Library,Princeton,USA,http://library.princeton.edu,"","","",""
4,,University of Michigan Library,"",Ann Arbor (MI),USA,http://www.lib.umich.edu,"","","",""
5,,"Yale University, Harvey Cushing/John Hay Whitney Medical Library","",New Haven,USA,http://library.medicine.yale.edu/,"",check,"",""
6,,Columbia University,"",New York,USA,http://library.columbia.edu/,"","","",""
7,,Harvard University,"",Cambridge (Mass.),USA,http://hcl.harvard.edu/libraries/houghton/,"","","",""
8,,Hebrew Union College,"",Cincinnati,USA,http://huc.edu/,"","","",""
9,,Jewish Theological Seminary,"",New York,USA,http://www.jtsa.edu/library,"","","",""
10,,Library of Congress,"",Washington,USA,https://www.loc.gov/,"","","",""
11,,University of Pennsylvania Library,"",Philadelphia,USA,http://www.library.upenn.edu/,"","","",""
12,,"Yale University, Beinecke Rare Book and MS Library","",New Haven,USA,http://beinecke.library.yale.edu/,"",check,"",""
13,,Dibner Library,Dibner Library of the History of Science and Technology,Washington,USA,http://library.si.edu/libraries/dibner-library-history-science-and-technology,"","","",""
14,,Henry Walter's Library,Walters Art Museum Research Library and Archives,Baltimore,USA,https://thewalters.org/research/archives.aspx,"","","",""
15,,Library of Health Sciences,"",Chicago,USA,http://library.uic.edu/lhs/chicago,"","","",""
16,,Stanford University Libraries,"",Stanford,USA,http://library.stanford.edu,"","","",""
17,,The Bancroft Library of the University of California,"",Berkeley,USA,http://bancroft.berkeley.edu/,"","","",""
18,,The Joseph Regenstein Library,"",Chicago,USA,https://www.lib.uchicago.edu/spaces/joseph-regenstein-library/,"","","",""
19,,The Morgan Library and Museum,"",New York,USA,http://www.themorgan.org,"","","",""
20,,The Newberry Library,"",Chicago,USA,http://www.newberry.org/,"","","",""
21,,Private Collection,null,Unknown,Unknown,"","","","",""
22,,Bodleian Library,"",Oxford,United Kingdom,http://www.bodleian.ox.ac.uk/,"","","",""
23,,Manfred and Anne Lehmann Foundation,"",New York,USA,http://www.manfredlehmann.com/,"","","",""
24,,British Museum,"",London,United Kingdom,http://www.britishmuseum.org/research/libraries_and_archives.aspx,"","","",""
25,,John Rylands University Library,"",Manchester,United Kingdom,http://www.library.manchester.ac.uk/,"","","",""
26,,University Library,"",Cambridge,United Kingdom,http://www.lib.cam.ac.uk,"","","",""
27,,Wellcome Library,"",London,United Kingdom,http://wellcomelibrary.org,"","","",""
28,,Beth Din and Beth Hamidrash,"",London,United Kingdom,"","","","",""
29,,British Library,"",London,United Kingdom,http://www.bl.uk/,"","","",""
30,,Private Collection David Sofer,"",London,United Kingdom,"","","","",""
31,,Merton College,"",Oxford,United Kingdom,https://www.merton.ox.ac.uk/library-and-archives,"","","",""
32,,Montefiore Library,"",London,United Kingdom,http://www.davidsassoonlibrary.com/,"","","",""
33,,Sassoon Library,"",London,United Kingdom,https://www.montefioreendowment.org.uk/,"","","",""
34,,School of Jewish Studies,"",London,United Kingdom,http://www.lsjs.ac.uk/library-2/,"","","",""
35,,Trinity College,"",Cambridge,United Kingdom,https://www.tcd.ie/library/,"","","",""
36,,University Library,"",Cambridge,United Kingdom,http://www.lib.cam.ac.uk/,"","","",""
37,,Balliol College Library,"",Oxford,United Kingdom,http://www.balliol.ox.ac.uk/about-balliol/Library,"","","",""
38,,Brasenose College Library,"",Oxford,United Kingdom,https://www.bnc.ox.ac.uk/current-students/student-services/469-the-library,"","","",""
39,,Cathedral Library,Worcester Cathedral Library,Worcester,United Kingdom,http://www.worcestercathedral.co.uk/Library.php,"","","",""
40,,Chapter Library,"",Durham,United Kingdom,https://www.durhamcathedral.co.uk/heritage/library,"","","",""
41,,Corpus Christi College Library,"",Oxford,United Kingdom,https://www.ccc.ox.ac.uk/Library-and-Archives/,"","","",""
42,,Gonville and Caius College Library,"",Cambridge,United Kingdom,http://www.cai.cam.ac.uk/library/,"","","",""
43,,Lambeth Palace Library,"",London,United Kingdom,http://www.lambethpalacelibrary.org/,"","","",""
44,,Library of the (Premonstratensian) Titchfield Abbey,"",Titchfield,United Kingdom,"","","","",""
45,,Lincoln College Library,"",Oxford,United Kingdom,http://www.lincoln.ox.ac.uk/,"","","",""
46,,Magdalen College Library,"",Oxford,United Kingdom,http://www.magd.ox.ac.uk/libraries-and-archives,"","","",""
47,,New College Library,"",Oxford,United Kingdom,http://www.new.ox.ac.uk/the-library-at-new-college,"","","",""
48,,Oriel College Library,"",Oxford,United Kingdom,http://www.oriel.ox.ac.uk/about/library,"","","",""
49,,Pembroke College Library,"",Cambridge,United Kingdom,http://www.pem.cam.ac.uk/library/,"","","",""
50,,Peterhouse College Library,"",Cambridge,United Kingdom,http://www.pet.cam.ac.uk/libraries/libraries,"","","",""
51,,St John's College Library,"",Oxford,United Kingdom,http://www.joh.cam.ac.uk/library/,"","","",""
52,,St. Augustine's Abbey,"",Canterbury,United Kingdom,"","",check (still existing?),"",""
53,,The Ashby Library of Claire Hall,"",Cambridge,United Kingdom,https://www.clarehall.cam.ac.uk/facilities/library,"","","",""
54,,"The Codrington Library, All Souls College","",Oxford,United Kingdom,https://www.asc.ox.ac.uk/the-library,"","","",""
55,,University Library,"",Glasgow,United Kingdom,http://www.lib.gla.ac.uk/,"","","",""
56,,University Library,"",Edinburgh,United Kingdom,http://www.ed.ac.uk/information-services/library-museum-gallery/crc/collections,"","","",""
57,,Bahça Kapısı,"",Istanbul,Turkey,"","",check (still existing?),"",""
58,,Beyazıt Devlet Kütüphanesi (Beyazit Omumi Kitapliği),Beyazıt Devlet Kütüphanesi (Beyazit Omumi Kitapliği) (Beyazıt State Library),Istanbul,Turkey,http://www.beyazitkutup.gov.tr,"","","",""
59,,Süleymaniye,"",Istanbul,Turkey,http://www.suleymaniye.yek.gov.tr/,"","","",""
60,,al-Maktaba al-Waṭaniyya (Bibliothèque Nationale),"",Tunis,Tunisia,www.bibliotheque.nat.tn,"","","",""
61,,Estate of Sayyid Bakrī Zābidī (?),"",Aleppo,Syria,"","","","",""
62,,Bibliotheque Publique et Universitaire de Geneve,"",Geneva,Switzerland,http://institutions.ville-geneve.ch/fr/bge/collections/manuscrits-et-archives/faire-une-recherche/,"","","",""
63,,Universitätsbibliothek,"",Basel,Switzerland,http://www.ub.unibas.ch/,"",BOOK-DARE-M-CH-BSL-UB-FAV6.5.2,"",""
64,,Stadtbibliothek,"",Winterthur,Switzerland,http://bibliotheken.winterthur.ch/stadtbibliothek/,"","","",""
65,,Zentralbibliothek,"",Zurich,Switzerland,https://www.zb.uzh.ch/spezialsammlungen/handschriftenabteilung/,"","","",""
66,,Bongarsiana,"",Bern,Switzerland,https://www.burgerbib.ch/,"","","",""
67,,Eisenbibliothek,"",Schlatt,Switzerland,http://www.eisenbibliothek.ch/,"","","",""
68,,Universitetsbibliotek,"",Uppsala,Sweden,http://www.ub.uu.se/,"","","",""
69,,Riksarkivet,"",Stockholm,Sweden,http://riksarkivet.se/,"","","",""
70,,Biblioteca de la Abadía del Sacromonte,"",Granada,Spain,http://abadiasacromonte.org/biblioteca-y-archivo-historico,"","","",""
71,,Biblioteca Nacional de España,"",Madrid,Spain,http://www.bne.es/,"","","",""
72,,Real Biblioteca de San Lorenzo de El Escorial,"",Madrid,Spain,http://rbme.patrimonionacional.es/,"","","",""
73,,Biblioteca San Francisco de Borja,"",San Cugat del Vallès,Spain,"","","","",""
74,,Biblioteca Capitular y Colombina,"",Seville,Spain,http://www.icolombina.es/,"","","",""
75,,Archivo y Biblioteca Capitolares,"",Toledo,Spain,http://www.catedralprimada.es/archivo_capitular_toledo/,"","","",""
76,,Biblioteca de la Catedral,"",Valencia,Spain,http://www.catedraldevalencia.es/archivo_general.php,"","","",""
77,,Biblioteca de la Universitat,"",Barcelona,Spain,https://cataleg.ub.edu/,"","","",""
78,,Russian National Library,"",St. Petersburg,Russia,http://www.nlr.ru/eng/,"",BOOK-DARE-M-RU-LED-NLR-Evr.IIA512,"",""
79,,Inst. of Oriental Studies of the Russian Academy,"",St. Petersburg,Russia,http://www.orientalstudies.ru,"","","",""
80,,Russian State Library,"",Moscow,Russia,http://www.rsl.ru/en/,"","","",""
81,,Bibliothèque Nationale,"",Paris,France,http://www.bnf.fr,"","","",""
82,,Bibliotheca Amploniana,"",Erfurt,Germany,http://www.uni-erfurt.de/amploniana/,"","","",""
83,,Bayerische Staatsbibliothek,"",Munich,Germany,https://www.bsb-muenchen.de/,"","","",""
84,,Staatsbibliothek,"",Berlin,Germany,http://staatsbibliothek-berlin.de/,"","","",""
85,,Österreichische Nationalbibliothek,"",Vienna,Austria,http://www.onb.ac.at/,"","","",""
86,,Biblioteca Palatina,"",Parma,Italy,http://www.bibpal.unipr.it/,"","","",""
87,,Public Library,"",Saint Petersburg,Russia,http://www.splibraries.org/,"","","",""
88,,Biblioteca Nacional de Portugal,"",Lisboa,Portugal,http://www.bnportugal.pt/,"","","",""
89,,Żydowski Instytut Historyczny,"",Warsaw,Poland,http://www.jhi.pl/en/archives,"","","",""
90,,Biblioteka Jagiellońska,"",Kraków,Poland,http://www.bj.uj.edu.pl/,"","","",""
91,,Biblioteka Uniwersytecka we Wrocławiu,"",Wrocław,Poland,http://www.bu.uni.wroc.pl/,"","","",""
92,,Universiteitsbibliotheek,"",Leiden,Netherlands,http://www.bibliotheek.leidenuniv.nl,"","","",""
93,,Universiteitsbibliotheek,"",Amsterdam,Netherlands,http://bijzonderecollecties.uva.nl/en,"","","",""
94,,Biblioteca Ambrosiana,"",Milan,Italy,http://www.ambrosiana.eu/,"","","",""
95,,Biblioteca Medicea Laurenziana,"",Florence,Italy,ttps://www.bmlonline.it,"","","",""
96,,Biblioteca Angelica,"",Rome,Italy,http://www.bibliotecaangelica.beniculturali.it/,"","","",""
97,,Khizāna Jāmiʿ al-Qarawiyyin,"",Fes,Morocco,http://www.alquaraouiyine.com/,"","","",""
98,,The Ḥasaniyya Library (Bibliothèque Royale),"",Rabat,Morocco,"","","","",""
99,,Université Saint Joseph,"",Beirut,Lebanon,http://www.bo.usj.edu.lb,"","","",""
100,,Archivio Abbaziale,"",Nonantola,Italy,"","","","",""
101,,Archivio Capitolare di Modena,"",Modena,Italy,"","","","",""
102,,Archivio Comunale,"",Nonantola,Italy,"","","","",""
103,,Archivio Capitolare di Modena,"",Modena,Italy,"","","","",""
104,,Biblioteca estense universitaria,"",Modena,Italy,http://bibliotecaestense.beniculturali.it,"","","",""
105,,Archivio di Stato,"",Imola,Italy,"","","","",""
106,,Biblioteca Arcescovile,"",Udine,Italy,http://www.diocesiudine.it/archivio_diocesano/00023874_Archivio_Diocesano.html,"","","",""
107,,Biblioteca Casanatense,"",Rome,Italy,"","","","",""
108,,Biblioteca Civica,"",Verona,Italy,"","","","",""
109,,Biblioteca Malatestiana,"",Cesena,Italy,"","","","",""
110,,Biblioteca Nazionale Universitaria,"",Turin,Italy,http://www.bnto.librari.beniculturali.it/,"","","",""
111,,Biblioteca Nazionale Centrale di Roma,"",Rome,Italy,http://www.bncrm.beniculturali.it/,"","","",""
112,,Comunita Israelitica,"",Mantova,Italy,"","","","",""
113,,Estense e universitaria,"",Modena,Italy,http://bibliotecaestense.beniculturali.it/,"","","",""
114,,Biblioteca Cateriniana del Seminario Arcivescovile,"",Pisa,Italy,http://www.biblioteca-cateriniana.pisa.it/,"","","",""
115,,Biblioteca Capitolare nella Curia Vescovile di Padova,"",Padua,Italy,http://bibliotecadigitale.cab.unipd.it/,"","","",""
116,,Biblioteca Civica Attilio Hortis,"",Trieste,Italy,http://www.bibliotecacivicahortis.it/,"","","",""
117,,Biblioteca Comunale,"",Fabriano,Italy,http://www.bibliotecafabriano.it/,"","","",""
118,,Biblioteca Comunale,"",Assisi,Italy,"","","","",""
119,,Biblioteca Comunale Ariostea,"",Ferrara,Italy,http://archibiblio.comune.fe.it/271/biblioteca-comunale-ariostea,"","","",""
120,,Biblioteca Comunale Classense,"",Ravenna,Italy,http://www.classense.ra.it/,"","","",""
121,,Biblioteca comunale degli Intronati,"",Siena,Italy,http://www.bibliotecasiena.it/,"","","",""
122,,Biblioteca Comunale dell'Archiginnasio,"",Bologna,Italy,http://www.archiginnasio.it/,"","","",""
123,,Biblioteca del Convento Domenicano della Minerva,"",Rome,Italy,"","","","",""
124,,Biblioteca estense universitaria,"",Modena,Italy,http://estense.cedoc.mo.it/,"","","",""
125,,Biblioteca Jacobilli e del Seminario,"",Foligno,Italy,http://www.jacobilli.it/,"","","",""
126,,Biblioteca Malatestiana,"",Cesena,Italy,http://www.malatestiana.it/,"","","",""
127,,Biblioteca Nazionale Centrale,"",Florence,Italy,http://www.bncf.firenze.sbn.it,"","","",""
128,,Biblioteca Nazionale,"",Naples,Italy,http://www.bnnonline.it/,"","","",""
129,,Biblioteca Nazionale Marciana,"",Venice,Italy,http://marciana.venezia.sbn.it/,"","","",""
130,,Biblioteca Oliveriana,"",Pesaro,Italy,http://www.oliveriana.pu.it/,"","","",""
131,,Biblioteca Ricardiana,"",Florence,Italy,http://www.riccardiana.firenze.sbn.it/,"","","",""
132,,Biblioteca Universitaria,"",Padua,Italy,http://www.bibliotecauniversitariapadova.it/,"","","",""
133,,Biblioteca Universitaria,"",Pavia,Italy,http://siba.unipv.it/buniversitaria/,"","","",""
134,,Biblioteca Universitaria,"",Bologna,Italy,http://www.bub.unibo.it/,"","","",""
135,,Bibliothèque Farnèse,"",Rome,Italy,http://www.efrome.it/bibliotheque.html,"","","",""
136,,La Biblioteca di Palazzo Campana,"",Osimo,Italy,http://www.istitutocampana.it/,"","","",""
137,,Pontificia Biblioteca Antoniana,"",Padua,Italy,http://biblioteca.antoniana.net/Benvenuti.html,"","","",""
138,,Meir Benayahu Collection,"",Jerusalem,Israel,"","",part of NLI?,"",""
139,,The National Library of Israel,"",Jerusalem,Israel,http://web.nli.org.il/,"","","",""
140,,Chester Beatty Library,"",Dublin,Ireland,http://www.cbl.ie/,"","","",""
141,,Kitābkhāna-i Markazī-i Dānishgāh (Central Library of Tehran University),"",Tehran,Iran,http://ut.ac.ir/en/page/781/central-library-and-documentation-center-of-the-university,"","","",""
142,,Kitābkhānah va Mūzih-i Millī-i Malik  (Malek Institute of Library and National Museum),"",Tehran,Iran,http://www.malekdlib.org/,"","","",""
143,,Dāʾirat al-maʿārif al-ʿuthmāniyya,"",Ḥaidarābād al-Dakan,India,"","","","",""
